ZIP,PO_NAME,STATE,ZIP_TYPE,ZCTA
96916,Merizo,GU,Post Office or large volume customer,96916
96917,Inarajan,GU,Post Office or large volume customer,96917
96928,Agat,GU,Post Office or large volume customer,96928
96915,Santa Rita,GU,ZIP Code area,96915
96923,Mangilao,GU,Post Office or large volume customer,96913
96910,Hagatna,GU,ZIP Code area,96910
96932,Hagatna,GU,Post Office or large volume customer,96932
96919,Agana Heights,GU,Post Office or large volume customer,96910
96921,Barrigada,GU,Post Office or large volume customer,96921
96913,Barrigada,GU,ZIP Code area,96913
96931,Tamuning,GU,Post Office or large volume customer,96913
96912,Dededo,GU,Post Office or large volume customer,96929
96929,Yigo,GU,ZIP Code area,96929
00840,Frederiksted,VI,ZIP Code area,00840
00841,Frederiksted,VI,Post Office or large volume customer,00841
00851,Kingshill,VI,Post Office or large volume customer,00851
00850,Kingshill,VI,ZIP Code area,00850
00820,Christiansted,VI,ZIP Code area,00820
00821,Christiansted,VI,Post Office or large volume customer,00820
00822,Christiansted,VI,Post Office or large volume customer,00820
00823,Christiansted,VI,Post Office or large volume customer,00823
00824,Christiansted,VI,Post Office or large volume customer,00824
00757,Santa Isabel,PR,ZIP Code area,00757
00647,Ensenada,PR,ZIP Code area,00647
00653,Guanica,PR,ZIP Code area,00653
00714,Arroyo,PR,ZIP Code area,00714
00704,Aguirre,PR,ZIP Code area,00704
00751,Salinas,PR,ZIP Code area,00751
00784,Guayama,PR,ZIP Code area,00784
00785,Guayama,PR,Post Office or large volume customer,00784
00624,Penuelas,PR,ZIP Code area,00624
00716,Ponce,PR,ZIP Code area,00716
00717,Ponce,PR,ZIP Code area,00717
00723,Patillas,PR,ZIP Code area,00723
00707,Maunabo,PR,ZIP Code area,00707
00715,Mercedita,PR,ZIP Code area,00715
00728,Ponce,PR,ZIP Code area,00728
00733,Ponce,PR,Post Office or large volume customer,00730
00730,Ponce,PR,ZIP Code area,00730
00734,Ponce,PR,Post Office or large volume customer,00730
00732,Ponce,PR,Post Office or large volume customer,00730
00656,Guayanilla,PR,ZIP Code area,00656
00698,Yauco,PR,ZIP Code area,00698
00622,Boqueron,PR,Post Office or large volume customer,00622
00667,Lajas,PR,ZIP Code area,00667
00780,Coto Laurel,PR,ZIP Code area,00780
00795,Juana Diaz,PR,ZIP Code area,00795
00767,Yabucoa,PR,ZIP Code area,00767
