Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_ZCTA3,Geo_ZCTA5,SF3_P053001
"00601 5-Digit ZCTA","00601 5-Digit ZCTA, 006 3-Digit ZCTA","172731389","1082233","860","00",,,"00600601","006","00601",9888
"00602 5-Digit ZCTA","00602 5-Digit ZCTA, 006 3-Digit ZCTA","80137374","0","860","00",,,"00600602","006","00602",11384
"00603 5-Digit ZCTA","00603 5-Digit ZCTA, 006 3-Digit ZCTA","78693011","83181","860","00",,,"00600603","006","00603",10748
"00604 5-Digit ZCTA","00604 5-Digit ZCTA, 006 3-Digit ZCTA","7785336","0","860","00",,,"00600604","006","00604",31199
"00606 5-Digit ZCTA","00606 5-Digit ZCTA, 006 3-Digit ZCTA","94870047","0","860","00",,,"00600606","006","00606",9243
"00610 5-Digit ZCTA","00610 5-Digit ZCTA, 006 3-Digit ZCTA","96017843","668032","860","00",,,"00600610","006","00610",12629
"00612 5-Digit ZCTA","00612 5-Digit ZCTA, 006 3-Digit ZCTA","192519622","2881056","860","00",,,"00600612","006","00612",13000
"00616 5-Digit ZCTA","00616 5-Digit ZCTA, 006 3-Digit ZCTA","40783913","14091","860","00",,,"00600616","006","00616",10476
"00617 5-Digit ZCTA","00617 5-Digit ZCTA, 006 3-Digit ZCTA","55340822","1660753","860","00",,,"00600617","006","00617",11511
"00622 5-Digit ZCTA","00622 5-Digit ZCTA, 006 3-Digit ZCTA","78576914","3070980","860","00",,,"00600622","006","00622",13634
"00623 5-Digit ZCTA","00623 5-Digit ZCTA, 006 3-Digit ZCTA","103636577","1492416","860","00",,,"00600623","006","00623",13565
"00624 5-Digit ZCTA","00624 5-Digit ZCTA, 006 3-Digit ZCTA","114880458","649343","860","00",,,"00600624","006","00624",12194
"00627 5-Digit ZCTA","00627 5-Digit ZCTA, 006 3-Digit ZCTA","120242300","31377","860","00",,,"00600627","006","00627",13168
"00631 5-Digit ZCTA","00631 5-Digit ZCTA, 006 3-Digit ZCTA","23479131","477966","860","00",,,"00600631","006","00631",8345
"00637 5-Digit ZCTA","00637 5-Digit ZCTA, 006 3-Digit ZCTA","92943730","10072","860","00",,,"00600637","006","00637",12485
"00638 5-Digit ZCTA","00638 5-Digit ZCTA, 006 3-Digit ZCTA","169524805","428000","860","00",,,"00600638","006","00638",10986
"00641 5-Digit ZCTA","00641 5-Digit ZCTA, 006 3-Digit ZCTA","284371047","3912858","860","00",,,"00600641","006","00641",9901
"00646 5-Digit ZCTA","00646 5-Digit ZCTA, 006 3-Digit ZCTA","61037857","268985","860","00",,,"00600646","006","00646",16378
"00647 5-Digit ZCTA","00647 5-Digit ZCTA, 006 3-Digit ZCTA","36292677","359578","860","00",,,"00600647","006","00647",9607
"00650 5-Digit ZCTA","00650 5-Digit ZCTA, 006 3-Digit ZCTA","48510333","102172","860","00",,,"00600650","006","00650",11544
"00652 5-Digit ZCTA","00652 5-Digit ZCTA, 006 3-Digit ZCTA","15754472","71446","860","00",,,"00600652","006","00652",12097
"00653 5-Digit ZCTA","00653 5-Digit ZCTA, 006 3-Digit ZCTA","59817965","179508","860","00",,,"00600653","006","00653",9770
"00656 5-Digit ZCTA","00656 5-Digit ZCTA, 006 3-Digit ZCTA","109716676","47297","860","00",,,"00600656","006","00656",11361
"00659 5-Digit ZCTA","00659 5-Digit ZCTA, 006 3-Digit ZCTA","108216440","42852","860","00",,,"00600659","006","00659",12378
"00660 5-Digit ZCTA","00660 5-Digit ZCTA, 006 3-Digit ZCTA","29330252","0","860","00",,,"00600660","006","00660",16745
"00662 5-Digit ZCTA","00662 5-Digit ZCTA, 006 3-Digit ZCTA","117649656","3063","860","00",,,"00600662","006","00662",11753
"00664 5-Digit ZCTA","00664 5-Digit ZCTA, 006 3-Digit ZCTA","115483732","0","860","00",,,"00600664","006","00664",11220
"00667 5-Digit ZCTA","00667 5-Digit ZCTA, 006 3-Digit ZCTA","156553747","933376","860","00",,,"00600667","006","00667",11426
"00669 5-Digit ZCTA","00669 5-Digit ZCTA, 006 3-Digit ZCTA","135708895","338","860","00",,,"00600669","006","00669",9758
"00670 5-Digit ZCTA","00670 5-Digit ZCTA, 006 3-Digit ZCTA","122317752","385795","860","00",,,"00600670","006","00670",9556
"00674 5-Digit ZCTA","00674 5-Digit ZCTA, 006 3-Digit ZCTA","117144283","120979","860","00",,,"00600674","006","00674",12820
"00676 5-Digit ZCTA","00676 5-Digit ZCTA, 006 3-Digit ZCTA","130242672","0","860","00",,,"00600676","006","00676",11271
"00677 5-Digit ZCTA","00677 5-Digit ZCTA, 006 3-Digit ZCTA","36951005","0","860","00",,,"00600677","006","00677",11460
"00678 5-Digit ZCTA","00678 5-Digit ZCTA, 006 3-Digit ZCTA","64304381","1206365","860","00",,,"00600678","006","00678",12005
"00680 5-Digit ZCTA","00680 5-Digit ZCTA, 006 3-Digit ZCTA","130294706","80512","860","00",,,"00600680","006","00680",12042
"00682 5-Digit ZCTA","00682 5-Digit ZCTA, 006 3-Digit ZCTA","20965041","2445795","860","00",,,"00600682","006","00682",11121
"00683 5-Digit ZCTA","00683 5-Digit ZCTA, 006 3-Digit ZCTA","135033167","0","860","00",,,"00600683","006","00683",13036
