var,n_missing,n_observed,n_unique,value,count,percent,min,mean,median,max,sd
sex,0,685487624,2,1,293147013,42.76,,,,,
sex,0,685487624,2,2,392340611,57.24,,,,,
race,0,685487624,7,0,3331793,0.49,,,,,
race,0,685487624,7,1,582518860,84.98,,,,,
race,0,685487624,7,2,57111390,8.33,,,,,
race,0,685487624,7,3,11726975,1.71,,,,,
race,0,685487624,7,4,13528014,1.97,,,,,
race,0,685487624,7,5,15095668,2.2,,,,,
race,0,685487624,7,6,2174924,0.32,,,,,
dodflag,0,685487624,2,"",658248484,96.03,,,,,
dodflag,0,685487624,2,V,27239140,3.97,,,,,
dual,0,685487624,2,0,598741002,87.35,,,,,
dual,0,685487624,2,1,86746622,12.65,,,,,
dead,0,685487624,2,FALSE,652900498,95.25,,,,,
dead,0,685487624,2,TRUE,32587126,4.75,,,,,
cluster_cat,68144643,617342981,10,,68144643,9.94,,,,,
cluster_cat,68144643,617342981,10,1,69834499,10.19,,,,,
cluster_cat,68144643,617342981,10,10,97719191,14.26,,,,,
cluster_cat,68144643,617342981,10,2,27238629,3.97,,,,,
cluster_cat,68144643,617342981,10,3,52190327,7.61,,,,,
cluster_cat,68144643,617342981,10,4,88785321,12.95,,,,,
cluster_cat,68144643,617342981,10,5,45170522,6.59,,,,,
cluster_cat,68144643,617342981,10,6,41393271,6.04,,,,,
cluster_cat,68144643,617342981,10,7,55467290,8.09,,,,,
cluster_cat,68144643,617342981,10,8,64513164,9.41,,,,,
cluster_cat,68144643,617342981,10,9,75030767,10.95,,,,,
entry_age_break,0,685487624,8,1,444702679,64.87,,,,,
entry_age_break,0,685487624,8,2,108744464,15.86,,,,,
entry_age_break,0,685487624,8,3,72364552,10.56,,,,,
entry_age_break,0,685487624,8,4,36869349,5.38,,,,,
entry_age_break,0,685487624,8,5,15192487,2.22,,,,,
entry_age_break,0,685487624,8,6,4613842,0.67,,,,,
entry_age_break,0,685487624,8,7,2991365,0.44,,,,,
entry_age_break,0,685487624,8,8,8886,0,,,,,
statecode,0,685487624,57,"",939210,0.14,,,,,
statecode,0,685487624,57,AK,1078222,0.16,,,,,
statecode,0,685487624,57,AL,11131389,1.62,,,,,
statecode,0,685487624,57,AR,7050070,1.03,,,,,
statecode,0,685487624,57,AZ,13346115,1.95,,,,,
statecode,0,685487624,57,CA,70929067,10.35,,,,,
statecode,0,685487624,57,CO,9045489,1.32,,,,,
statecode,0,685487624,57,CT,8668153,1.26,,,,,
statecode,0,685487624,57,DC,1177310,0.17,,,,,
statecode,0,685487624,57,DE,2126289,0.31,,,,,
statecode,0,685487624,57,FL,51018268,7.44,,,,,
statecode,0,685487624,57,GA,16749267,2.44,,,,,
statecode,0,685487624,57,GU,172376,0.03,,,,,
statecode,0,685487624,57,HI,3187533,0.47,,,,,
statecode,0,685487624,57,IA,7969012,1.16,,,,,
statecode,0,685487624,57,ID,3245890,0.47,,,,,
statecode,0,685487624,57,IL,27612989,4.03,,,,,
statecode,0,685487624,57,IN,14465256,2.11,,,,,
statecode,0,685487624,57,KS,6538710,0.95,,,,,
statecode,0,685487624,57,KY,9836652,1.43,,,,,
statecode,0,685487624,57,LA,9558828,1.39,,,,,
statecode,0,685487624,57,MA,15640952,2.28,,,,,
statecode,0,685487624,57,MD,11693867,1.71,,,,,
statecode,0,685487624,57,ME,3644559,0.53,,,,,
statecode,0,685487624,57,MH,18,0,,,,,
