Variable Name 2012,Variable Name,Description,Source,n_missing.2016,n_missing.2012,n_observed.2016,n_observed.2012,n_unique.2016,n_unique.2012,value.2016,value.2012,count.2016,count.2012,percent.2016,percent.2012,min.2016,min.2012,mean.2016,mean.2012,median.2016,median.2012,max.2016,max.2012,sd.2016,sd.2012
cluster_cat,cluster_cat,Kmeans clustering of of five major chemical components of PM2.5. Produced for NEJM paper. Provenance uncertain.,Local,68144643,9334232,617342981,463294716,10,10,1,1,69834499,55264754,10.19,11.69,,,,,,,,,,
cluster_cat,cluster_cat,Kmeans clustering of of five major chemical components of PM2.5. Produced for NEJM paper. Provenance uncertain.,Local,68144643,9334232,617342981,463294716,10,10,10,10,97719191,74969965,14.26,15.86,,,,,,,,,,
cluster_cat,cluster_cat,Kmeans clustering of of five major chemical components of PM2.5. Produced for NEJM paper. Provenance uncertain.,Local,68144643,9334232,617342981,463294716,10,10,2,2,27238629,19519800,3.97,4.13,,,,,,,,,,
cluster_cat,cluster_cat,Kmeans clustering of of five major chemical components of PM2.5. Produced for NEJM paper. Provenance uncertain.,Local,68144643,9334232,617342981,463294716,10,10,3,3,52190327,37316303,7.61,7.9,,,,,,,,,,
cluster_cat,cluster_cat,Kmeans clustering of of five major chemical components of PM2.5. Produced for NEJM paper. Provenance uncertain.,Local,68144643,9334232,617342981,463294716,10,10,4,4,88785321,69757600,12.95,14.76,,,,,,,,,,
cluster_cat,cluster_cat,Kmeans clustering of of five major chemical components of PM2.5. Produced for NEJM paper. Provenance uncertain.,Local,68144643,9334232,617342981,463294716,10,10,5,5,45170522,34258214,6.59,7.25,,,,,,,,,,
cluster_cat,cluster_cat,Kmeans clustering of of five major chemical components of PM2.5. Produced for NEJM paper. Provenance uncertain.,Local,68144643,9334232,617342981,463294716,10,10,6,6,41393271,31283583,6.04,6.62,,,,,,,,,,
cluster_cat,cluster_cat,Kmeans clustering of of five major chemical components of PM2.5. Produced for NEJM paper. Provenance uncertain.,Local,68144643,9334232,617342981,463294716,10,10,7,7,55467290,41018469,8.09,8.68,,,,,,,,,,
cluster_cat,cluster_cat,Kmeans clustering of of five major chemical components of PM2.5. Produced for NEJM paper. Provenance uncertain.,Local,68144643,9334232,617342981,463294716,10,10,8,8,64513164,49748845,9.41,10.53,,,,,,,,,,
cluster_cat,cluster_cat,Kmeans clustering of of five major chemical components of PM2.5. Produced for NEJM paper. Provenance uncertain.,Local,68144643,9334232,617342981,463294716,10,10,9,9,75030767,50157183,10.95,10.61,,,,,,,,,,
dead,dead,Indicator of participant death (bene_dod) in this year (0 = not dead 1 = dead). Derived from Medicare data.,Medicare,0,0,685487624,472628948,2,2,FALSE,FALSE,652900498,449539601,95.25,95.11,,,,,,,,,,
dead,dead,Indicator of participant death (bene_dod) in this year (0 = not dead 1 = dead). Derived from Medicare data.,Medicare,0,0,685487624,472628948,2,2,TRUE,TRUE,32587126,23089347,4.75,4.89,,,,,,,,,,
dodflag,dodflag,Valid date of death switch (v=validated),Medicare,0,0,685487624,472628948,2,2,V,V,27239140,17398885,3.97,3.68,,,,,,,,,,
dual,dual,Eligible for both Medicare and Medicaid,Medicare,0,0,685487624,472628948,2,2,0,0,598741002,412628734,87.35,87.31,,,,,,,,,,
dual,dual,Eligible for both Medicare and Medicaid,Medicare,0,0,685487624,472628948,2,2,1,1,86746622,60000214,12.65,12.69,,,,,,,,,,
entry_age_break_1999,entry_age_break,Age category on entering the cohort (derived from Medicare data including 1999),Medicare,0,0,685487624,472628948,8,8,1,1,444702679,279891033,64.87,59.22,,,,,,,,,,
entry_age_break_1999,entry_age_break,Age category on entering the cohort (derived from Medicare data including 1999),Medicare,0,0,685487624,472628948,8,8,2,2,108744464,85445417,15.86,18.08,,,,,,,,,,
entry_age_break_1999,entry_age_break,Age category on entering the cohort (derived from Medicare data including 1999),Medicare,0,0,685487624,472628948,8,8,3,3,72364552,58839301,10.56,12.45,,,,,,,,,,
entry_age_break_1999,entry_age_break,Age category on entering the cohort (derived from Medicare data including 1999),Medicare,0,0,685487624,472628948,8,8,4,4,36869349,30479953,5.38,6.45,,,,,,,,,,
entry_age_break_1999,entry_age_break,Age category on entering the cohort (derived from Medicare data including 1999),Medicare,0,0,685487624,472628948,8,8,5,5,15192487,12263381,2.22,2.59,,,,,,,,,,
entry_age_break_1999,entry_age_break,Age category on entering the cohort (derived from Medicare data including 1999),Medicare,0,0,685487624,472628948,8,8,6,6,4613842,3471768,0.67,0.73,,,,,,,,,,
entry_age_break_1999,entry_age_break,Age category on entering the cohort (derived from Medicare data including 1999),Medicare,0,0,685487624,472628948,8,8,7,7,2991365,2236725,0.44,0.47,,,,,,,,,,
entry_age_break_1999,entry_age_break,Age category on entering the cohort (derived from Medicare data including 1999),Medicare,0,0,685487624,472628948,8,8,8,8,8886,1370,0,0,,,,,,,,,,
race,race,Beneficiary race code (1=white 2=black others),Medicare,0,0,685487624,472628948,7,7,0,0,3331793,1064539,0.49,0.23,,,,,,,,,,
race,race,Beneficiary race code (1=white 2=black others),Medicare,0,0,685487624,472628948,7,7,1,1,582518860,404707156,84.98,85.63,,,,,,,,,,
race,race,Beneficiary race code (1=white 2=black others),Medicare,0,0,685487624,472628948,7,7,2,2,57111390,38955015,8.33,8.24,,,,,,,,,,
race,race,Beneficiary race code (1=white 2=black others),Medicare,0,0,685487624,472628948,7,7,3,3,11726975,7369679,1.71,1.56,,,,,,,,,,
race,race,Beneficiary race code (1=white 2=black others),Medicare,0,0,685487624,472628948,7,7,4,4,13528014,8852375,1.97,1.87,,,,,,,,,,
race,race,Beneficiary race code (1=white 2=black others),Medicare,0,0,685487624,472628948,7,7,5,5,15095668,10216978,2.2,2.16,,,,,,,,,,
race,race,Beneficiary race code (1=white 2=black others),Medicare,0,0,685487624,472628948,7,7,6,6,2174924,1463206,0.32,0.31,,,,,,,,,,
sex,sex,sex (1=male and 2=femaile),Medicare,0,0,685487624,472628948,2,3,1,1,293147013,200220060,42.76,42.36,,,,,,,,,,
sex,sex,sex (1=male and 2=femaile),Medicare,0,0,685487624,472628948,2,3,2,2,392340611,272408660,57.24,57.64,,,,,,,,,,
statecode,statecode,Two-letter abbrev. for state name,Medicare,0,0,685487624,472628948,57,57,AK,AK,1078222,763063,0.16,0.16,,,,,,,,,,
statecode,statecode,Two-letter abbrev. for state name,Medicare,0,0,685487624,472628948,57,57,AL,AL,11131389,7728555,1.62,1.64,,,,,,,,,,
statecode,statecode,Two-letter abbrev. for state name,Medicare,0,0,685487624,472628948,57,57,AR,AR,7050070,4913722,1.03,1.04,,,,,,,,,,
statecode,statecode,Two-letter abbrev. for state name,Medicare,0,0,685487624,472628948,57,57,AZ,AZ,13346115,9005496,1.95,1.91,,,,,,,,,,
statecode,statecode,Two-letter abbrev. for state name,Medicare,0,0,685487624,472628948,57,57,CA,CA,70929067,48564968,10.35,10.28,,,,,,,,,,
statecode,statecode,Two-letter abbrev. for state name,Medicare,0,0,685487624,472628948,57,57,CO,CO,9045489,6057386,1.32,1.28,,,,,,,,,,
statecode,statecode,Two-letter abbrev. for state name,Medicare,0,0,685487624,472628948,57,57,CT,CT,8668153,6071423,1.26,1.28,,,,,,,,,,
statecode,statecode,Two-letter abbrev. for state name,Medicare,0,0,685487624,472628948,57,57,DC,DC,1177310,827279,0.17,0.18,,,,,,,,,,
statecode,statecode,Two-letter abbrev. for state name,Medicare,0,0,685487624,472628948,57,57,DE,DE,2126289,1441399,0.31,0.3,,,,,,,,,,
statecode,statecode,Two-letter abbrev. for state name,Medicare,0,0,685487624,472628948,57,57,FL,FL,51018268,35080168,7.44,7.42,,,,,,,,,,
statecode,statecode,Two-letter abbrev. for state name,Medicare,0,0,685487624,472628948,57,57,GA,GA,16749267,11279797,2.44,2.39,,,,,,,,,,
